Equipment Type,PM Type,Checklist Item
ALL,500H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,500H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,500H,Ensure tank is securely mounted and damage free
ALL,500H,Disengage burst disc union and examing burst disc
ALL,500H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,500H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,500H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,500H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,500H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,500H,Remove expellant gas cartridge check for damage or corrosion
ALL,500H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,500H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,500H,Return cartridge to receiver and hand tighten
ALL,500H,Ensure FSS engine shutdown is functional
ALL,500H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,500H,Radio Remote Control System (if equipped)
ALL,500H,Perform visual inspection of RRC and camera system on machine
ALL,500H,Perform visual inspection of joystick unit
ALL,500H,Perform Unattended Vehicle Time-Out Test
ALL,500H,Perform Joystick E-Stop Test
ALL,500H,Perform Joystick Tilt Switch Test
ALL,500H,Perform Joystick Service Brake Test
ALL,500H,Perform test of all joystick functions
ALL,500H,Perform test of remote switch 60-second time-out period
ALL,500H,Perform test of remote switch shutdown due to equipment in gear
ALL,500H,Perform test of remote switch shutdown due to park brake not applied
ALL,500H,Perform test of remote switch with joystick power on previously
ALL,500H,Perform test of joystick power-off 60-second time-out period
ALL,500H,Perform test of joystick power-off w/o delayed shutdown switch
ALL,1000H,Ensure all wheel chocks are present
ALL,1000H,Perform park brake test as per attached sheet
ALL,1000H,Perform Service brake test as per attach. Sheet
ALL,1000H,Where applicable test ABA (auto brake application)
ALL,1000H,Check mounting and operation of all lights
ALL,1000H,Check operation and condition of all gauges
ALL,1000H,Check seat and seat belts for condition and mounting
ALL,1000H,Check unit over for visible leaks
ALL,1000H,Check condition of bucket and lip
ALL,1000H,Wash machine thoroughly including all coolers
ALL,1000H,"Check for unusual noises, vibrations or behaviors"
ALL,1000H,Operator Compartment
ALL,1000H,Check and refill windshield washers
ALL,1000H,Check all wiper blades
ALL,1000H,Check condition of all cab glass
ALL,1000H,Check seat and seat belts for condition and mounting
ALL,1000H,Change cab air filter
ALL,1000H,Test steering lockout
ALL,1000H,ENGINE SECTION
ALL,1000H,Check and retorque engine mounts
ALL,1000H,Inspect all intake and exhaust piping and manifolds
ALL,1000H,"Inspect fan, fan drive and belts adjust if required"
ALL,1000H,Lubricate fan hub assy. (do not overgrease)
ALL,1000H,"Check alternator mounts, belts and charging"
ALL,1000H,Check starter mounting and operation
ALL,1000H,"Check for oil, coolant or fuel leaks"
ALL,1000H,Check coolant level and strength
ALL,1000H,Clean engine crankcase breather
ALL,1000H,Clean purifiers (reverse flush)
ALL,1000H,Clean fuel tank cap and strainer
ALL,1000H,Check all engine harnesses for condition and mounting
ALL,1000H,"Check purifiers, mounting and back pressure"
ALL,1000H,Change engine oil and filters
ALL,1000H,Change all fuel filters
ALL,1000H,Change inner and outer air elements if required
ALL,1000H,"Start engine check for leaks, oil pressure and operation"
ALL,1000H,TRANSMISSION AND CONVERTOR
ALL,1000H,Change transmission oil
ALL,1000H,Change transmission filter
ALL,1000H,Check shifting and neutral start operation
ALL,1000H,Check convertor out pressure ________ PSI
ALL,1000H,Check transmission clutch pressure _______ PSI
ALL,1000H,Check convertor mounting bolts
ALL,1000H,Inspect and lubricate high speed driveline
ALL,1000H,Check input and output bearings
ALL,1000H,Check closely for leaks
ALL,1000H,Check condition and mounting of all hoses
ALL,1000H,Check transmission mounted park brake linkage and adjustment
ALL,1000H,Front Axle
ALL,1000H,Check axle and planetary oil levels and conditons
ALL,1000H,Check entire axle for leaks
ALL,1000H,Clean axle breather
ALL,1000H,Check axle tie bolts condition and tightness
ALL,1000H,Check condition and mounting of park brake calipers
ALL,1000H,Retorque wheel nuts
ALL,1000H,Check condition of tires and rims
ALL,1000H,Check all hoses and wiring under front half of machine
ALL,1000H,Rear Axle
ALL,1000H,Check rear axle and planetary oil levels and condition
ALL,1000H,Check over entire axle for leaks
ALL,1000H,Clean axle breather
ALL,1000H,Check axle mounting bolts 
ALL,1000H,Inspect and lubricate oscillating axle assembly
ALL,1000H,Retorque wheel nuts
ALL,1000H,Check condition of tires and rims
ALL,1000H,Check all hoses and wiring under rear half of machine
ALL,1000H,BRAKES SYSTEM
ALL,1000H,"Check condition, mounting leaks on all brake cooling lines"
ALL,1000H,Change brake cooling oil
ALL,1000H,Change all brake cooling filters
ALL,1000H,Check for damaged or worn brake lines
ALL,1000H,Check proper operation of all brake valves
ALL,1000H,Ensure all brake pressures are correct
ALL,1000H,Check entire brake system for leaks
ALL,1000H,Check visual wear indicators on all 4 service brakes
ALL,1000H,Check all brake accumulators pre-charge pressure
ALL,1000H,HYDRAULICS SYSTEM
ALL,1000H,Check hydraulic oil
ALL,1000H,Change all hydraulic filters
ALL,1000H,Check over entire unit for hydraulic leaks
ALL,1000H,Check and record main hydraulic pressure
ALL,1000H,Check ride control accumulator
ALL,1000H,"Check all hoses for mounting, routing and condition"
ALL,1000H,Check mounting of all pumps and valves
ALL,1000H,Check all hydraulic functions for proper operation
ALL,1000H,STEERING SYSTEM
ALL,1000H,Check and record steering pressure
ALL,1000H,Check steering operation and speed
ALL,1000H,Check operation of emergency steering
ALL,1000H,Check operation of dump valve
ALL,1000H,Check steering accumulator pre-charge
ALL,1000H,Check condition of all steering linkage
ALL,1000H,Check adjustment and condition of steering stops
ALL,1000H,Check condition of steering pins and bushings
ALL,1000H,Check condition of steering cylinders
ALL,1000H,ELECTRICAL SYSTEM 
ALL,1000H,Check clean and tighten all battery connections and mounts
ALL,1000H,Check electrolyte level and specific gravity
ALL,1000H,Check all gauges and switches condition and operation
ALL,1000H,Check all wiring and harnessess condition and mounting
ALL,1000H,Check all lights for operation and condition
ALL,1000H,Check function of FSS engine shutdown
ALL,1000H,FRAME & ATTACHMENTS
ALL,1000H,Check and adjust centre pins as required
ALL,1000H,"Check steer, dump and hoist cyl. pins and bushings"
ALL,1000H,Check bucket pins and bushings for condition
ALL,1000H,Check bucket for wear or cracks
ALL,1000H,Check all boom pins and bushings for condition
ALL,1000H,Check entire boom for damage or cracks
ALL,1000H,Check entire frame for damage or cracks
ALL,1000H,"Check ROPS for damage, cracks and mounting"
ALL,1000H,Ensure ROPS tag is securely mounted and legible
ALL,1000H,Check fire extinguisher mounting and condition
ALL,1000H,Inspect all grease lines mounting and condition
ALL,1000H,Inspect all grease fittings conditon and functionality
ALL,1000H,Grease entire unit
ALL,1000H,FIRE SUPPRESSION (MANUAL SYSTEM)
ALL,1000H,Units Equipped with Checkfire use Ansul Inspection Sheet
ALL,1000H,Note general appearance and mount of dry chemical tank
ALL,1000H,"Check nameplates for readabilty, mounting and corrosion"
ALL,1000H,"Remove fill cap,examine gasket, threads and relief vent"
ALL,1000H,Ensure tank is filled with free flowing ansul dry foray chemical to a level not more than three inches below bottom of fill opening
ALL,1000H,Lubricate fill cap gasket with high temp grease and reinstall hand tight
ALL,1000H,Ensure tank is securely mounted and damage free
ALL,1000H,Disengage burst disc union and examing burst disc
ALL,1000H,Install air line adapter and blow air through system ensuring all nozzles receive air and no leaks in system
ALL,1000H,Remove adapter and reinstall burst disc union wrench tighten but with caution
ALL,1000H,"Check all hoses, fittings and nozzles for damage mounting and wear"
ALL,1000H,"Check all nozzles for placement, mounting and condition, install new blow-off caps"
ALL,1000H,Check remote actuator. Inspect threads and relief vent examine and lubricate gasket
ALL,1000H,Remove expellant gas cartridge check for damage or corrosion
ALL,1000H,Pull ring pin and try actuator several times checking for freedom of movement
ALL,1000H,Check threads and relief vent check and lubricate gasket with high temp grease
ALL,1000H,Return cartridge to receiver and hand tighten
ALL,1000H,Ensure FSS engine shutdown is functional
ALL,1000H,Seal ring pin to actuator with plastic seal or lead and wire
ALL,1000H,Radio Remote Control System (if equipped)
ALL,1000H,Perform visual inspection of RRC and camera system on machine
ALL,1000H,Perform visual inspection of joystick unit
ALL,1000H,Perform Unattended Vehicle Time-Out Test
ALL,1000H,Perform Joystick E-Stop Test
ALL,1000H,Perform Joystick Tilt Switch Test
ALL,1000H,Perform Joystick Service Brake Test
ALL,1000H,Perform test of all joystick functions
ALL,1000H,Perform test of remote switch 60-second time-out period
ALL,1000H,Perform test of remote switch shutdown due to equipment in gear
ALL,1000H,Perform test of remote switch shutdown due to park brake not applied
ALL,1000H,Perform test of remote switch with joystick power on previously
ALL,1000H,Perform test of joystick power-off 60-second time-out period
ALL,1000H,Perform test of joystick power-off w/o delayed shutdown switch
ALL,250H,Ensure all wheel chocks are present
ALL,250H,Perform park brake test
ALL,250H,Perform service brake test
ALL,250H,Check start & neutral start function
ALL,250H,Check operation of emergency stop buttons and alarms
ALL,250H,Check mounting & operation of all lights
ALL,250H,Check operation & condition of all guages
ALL,250H,Check seat & seat belts for condition & mounting
ALL,250H,Check unit for visible leaks
ALL,250H,Wash machine
ALL,250H,Check for unusal noises & vibrations
ALL,250H,Carrier
ALL,250H,Replace trans oil filter
ALL,250H,Replace trans return oil filter
ALL,250H,Check drive gear oils
ALL,250H,Check frame joint and oscillation
ALL,250H,Check brakes and adjust if necessary
ALL,250H,Check all tires for wear
ALL,250H,Check trans oil level
ALL,250H,Grease carrier lubrication points
ALL,250H,ENGINE SECTION
ALL,250H,Clean engine & cooler fins
ALL,250H,Check cooling system for leaks & level
ALL,250H,Replace engine oil filter
ALL,250H,Change engine oil
ALL,250H,Check engine mounts
ALL,250H,Check engine V belts
ALL,250H,Check air filters repace if necessary
ALL,250H,Replace water seperator filter
ALL,250H,Check glow plugs for operation
ALL,250H,Check hoses & clamps on intake
ALL,250H,Change fuel filters
ALL,250H,Check fuel lines for leaks
ALL,250H,Cable Reel
ALL,250H,Check tighteness of bolts & nuts
ALL,250H,Check cables fastening to the reel
ALL,250H,Check limit switch
ALL,250H,Lubricate chain and bearings
ALL,250H,Check tightenes of chain and adjust if necessary
ALL,250H,Compressor
ALL,250H,Change oil
ALL,250H,Replace oil filter
ALL,250H,Check air filter replace if necessary
ALL,250H,Clean external surfaces on radiator
ALL,250H,Check condition of hoses
ALL,250H,Check engine connections
ALL,250H,Check condition of V belts
ALL,250H,Rock Drill
ALL,250H,Check tighteness of flushing head bolts
ALL,250H,Check and torque side rods
ALL,250H,Check and tighten drill mounting bolts
ALL,250H,Check for leaks
ALL,250H,Check condition of hoses & connections
ALL,250H,Check acc filling valves & tightness of acc bolts 
ALL,250H,Check acc pressures
ALL,250H,Check tighteness of rotary actuator & rear cover bolts
ALL,250H,Feed
ALL,250H,Check condition of hoses and components
ALL,250H,Check the fastening And tightenes of feed wires
ALL,250H,Check wear and condition of cable wires
ALL,250H,Check feed beam
ALL,250H,Check cables run straight
ALL,250H,Check cable wire bearing replace if necessary
ALL,250H,Check feed wear pieces repace if necessary
